CustomerID,Income,Monthly,Default
1,22254.0,1214,0
2,23007.0,1359,0
3,21879.0,1532,0
4,31695.0,1728,0
5,18858.0,1551,1
6,21506.0,1652,1
7,18678.0,1664,0
8,25253.0,1813,1
9,27629.0,1630,0
10,23876.0,1152,0
11,25797.0,2006,1
12,,1983,0
13,27307.0,889,0
14,20686.0,1749,0
15,21983.0,2073,1
16,24447.0,1522,0
17,25439.0,1368,0
18,28063.0,849,0
19,24661.0,1573,0
20,21932.0,1502,1
21,24536.0,1538,0
22,25376.0,2003,1
23,23809.0,1934,1
24,22281.0,1502,0
25,,1345,0
26,,1240,0
27,23421.0,1726,1
28,,1718,1
29,25399.0,1932,1
30,19651.0,1381,1
31,23995.0,1059,0
32,24440.0,1783,1
33,23042.0,1871,1
34,19303.0,1368,1
35,24385.0,1959,1
36,,1464,1
37,19831.0,1428,1
38,25441.0,2054,1
39,23783.0,1172,1
40,27374.0,1903,0
41,22585.0,1489,0
42,23097.0,1467,0
43,25553.0,1575,0
44,21510.0,1709,1
45,30815.0,1975,0
46,27318.0,1511,0
47,19023.0,1521,0
48,23741.0,1045,0
49,27778.0,1607,0
50,19266.0,1264,0
51,23313.0,1082,0
52,24335.0,1177,0
53,19684.0,1457,1
54,21207.0,1061,0
55,19301.0,1791,0
56,22489.0,1575,1
57,24434.0,1683,0
58,29853.0,1568,0
59,26867.0,1592,0
60,23931.0,1658,0
61,,1430,1
62,20005.0,2006,0
63,28927.0,1597,0
64,27311.0,1684,0
65,28171.0,1458,0
66,29339.0,1343,0
67,23846.0,1488,1
68,26880.0,1346,0
69,26758.0,1634,0
70,,1463,0
71,23079.0,1695,1
72,21423.0,1368,0
73,28357.0,1361,0
74,26641.0,1819,0
75,24917.0,1576,0
76,26132.0,1327,0
77,19916.0,1626,1
78,25845.0,1610,1
79,23385.0,1638,0
80,20700.0,1302,0
81,26043.0,1404,0
82,18552.0,1288,0
83,24036.0,1090,0
84,26950.0,1922,0
85,24533.0,1589,0
86,,1499,1
87,27732.0,1590,0
88,19553.0,1176,0
89,22870.0,1950,1
90,30051.0,1948,0
91,21936.0,1441,0
92,25773.0,1247,0
93,19868.0,1578,1
94,21433.0,921,0
95,20394.0,1657,1
96,29858.0,1586,0
97,24498.0,1417,0
